name,ticker,industry
Teekay,TK,Transportation - Shipping
Takung Art,TKAT,Finance - Investment Banks
Turkcell Iletisim Hizmetleri AS,TKC,Wireless - Non-US Providers
Timken,TKR,Metal Processing & Fabrication
Taiwan Liposome,TLC,Medical - Drug Manufacturing
TLG Acquisition One,TLGA,Unclassified
Teligent,TLGT,Medical - Generic Drugs
Talis Biomedical,TLIS,Medical - Biomedical and Genetics
"PT Telekomunikasi Indonesia, Tbk",TLK,Diversified Communication Services
SOC Telemed,TLMD,Medical Information Systems
Talend S.A,TLND,Internet Software & Services
Tilray,TLRY,Medical - Drug Manufacturing
Telos,TLS,Information Technology Services
Tiziana Life Sciences,TLSA,Medical - Biomedical and Genetics
Tilly's,TLYS,Retail - Apparel & Shoes
Toyota,TM,Auto Manufacturers - Foreign
